alias,latitude,longitude,time_window_start,time_window_end,service_time,pieces,weight(Kg),volume(m^3),skills
Customer 5,33.803026,-117.924825,420,960,15,4,53,53,cargo
Customer 6,33.803026,-117.924825,420,960,15,13,245,53,cargo
Customer 7,33.803026,-117.924825,360,960,15,13,149,53,cargo
Customer 8,37.973318,-121.795153,420,960,15,20,248,53,cargo
Customer 9,33.803026,-117.924825,540,960,15,14,39,53,fridge
Customer 10,36.778261,-119.417932,420,960,15,21,207,53,fridge-platform
Customer 11,34.048903,-118.54866,540,960,15,2,189,53,cargo
Customer 12,37.973318,-121.795153,600,960,15,18,164,53,cargo
Customer 13,34.048903,-118.54866,600,960,15,9,117,53,cargo
Customer 16,26.014745,-80.125161,420,960,15,4,48,53,cargo
Customer 17,25.954796,-80.124451,480,960,15,13,199,53,cargo
Customer 18,28.635174,-81.445215,420,960,15,11,241,53,cargo
Customer 19,25.957701,-80.12596,600,960,15,9,55,53,cargo
Customer 20,28.190723,-81.149184,420,960,15,9,26,53,cargo
Customer 21,26.115392,-80.272204,540,960,15,5,131,53,cargo
Customer 24,25.889218,-80.127147,600,960,15,15,127,53,cargo
Customer 25,28.137538,-81.628874,600,960,15,14,53,53,cargo
Customer 26,26.577499,-80.167089,600,960,15,9,23,53,cargo
Customer 27,26.915605,-80.152217,600,960,15,9,172,53,fridge-platform
Customer 28,28.5212,-81.428433,600,960,15,5,26,53,cargo
Customer 29,25.948996,-80.139892,420,960,15,8,216,53,cargo
Customer 30,28.208923,-82.527243,780,960,15,22,201,53,cargo
Customer 31,28.377672,-81.523744,420,960,15,17,91,53,cargo
Customer 32,26.166387,-80.115586,600,960,15,21,153,53,cargo
Customer 33,28.208923,-82.527243,600,960,15,18,206,53,cargo
Customer 34,26.040821,-80.297626,600,960,15,13,83,53,cargo
Customer 35,28.208923,-82.527243,600,960,15,11,97,53,cargo
Customer 36,28.415764,-81.574646,510,960,15,19,201,53,cargo
Customer 37,26.359282,-80.232765,600,960,15,17,198,53,cargo
Customer 38,26.707086,-80.063358,360,960,15,3,106,53,cargo
Customer 39,26.3678,-80.146318,480,960,15,6,230,53,cargo
Customer 40,27.410545,-82.480029,420,960,15,17,234,53,cargo
Customer 41,26.777101,-81.737533,600,960,15,6,247,53,cargo
Customer 42,25.9907,-80.117984,420,960,15,13,177,53,fridge
Customer 43,26.16197,-80.315133,420,960,15,6,37,53,fridge
Customer 44,26.011233,-80.209349,420,960,15,21,35,53,fridge
Customer 46,27.793402,-82.792303,420,960,15,20,62,53,cargo
Customer 47,26.127825,-80.307241,360,960,15,22,122,53,cargo
Customer 48,28.465753,-81.468435,600,960,15,4,191,53,cargo
Customer 49,26.651184,-81.584818,600,960,15,13,29,53,cargo
Customer 50,28.332123,-81.517633,420,960,15,4,194,53,cargo
Customer 51,26.549186,-80.06642,600,960,15,15,51,53,cargo
Customer 52,26.462181,-80.060556,600,960,15,5,62,53,cargo
Customer 54,26.05153,-80.314923,420,960,15,7,69,53,cargo
Customer 55,25.740348,-80.434352,510,960,15,17,89,53,cargo
Customer 56,26.517257,-80.078436,360,960,15,4,187,53,cargo
Customer 57,29.15899,-80.973227,600,960,15,14,88,53,cargo
Customer 58,25.767095,-80.190044,450,960,15,20,101,53,cargo
Customer 59,26.726704,-80.104678,600,960,15,17,45,53,cargo
