Alias,Latitude,Longitude,Vehicle,Visit Time,Rout Cost, Vehicle Cost
depot,26.028818,-80.205416,Vehicle1,0-07:00,335,624.0
Customer 17,25.954796,-80.124451,Vehicle1,0-08:00,335,624.0
Customer 19,25.957701,-80.12596,Vehicle1,0-10:00,335,624.0
Customer 24,25.889218,-80.127147,Vehicle1,0-10:22,335,624.0
depot,26.028818,-80.205416,Vehicle1,0-10:55,335,624.0
depot,26.028818,-80.205416,Vehicle1,0-11:25,192,624.0
Customer 34,26.040821,-80.297626,Vehicle1,0-11:34,192,624.0
Customer 21,26.115392,-80.272204,Vehicle1,0-11:57,192,624.0
Customer 32,26.166387,-80.115586,Vehicle1,0-12:29,192,624.0
depot,26.028818,-80.205416,Vehicle1,0-13:03,192,624.0
depot,26.028818,-80.205416,Vehicle1,0-13:33,97,624.0
Customer 29,25.948996,-80.139892,Vehicle1,0-13:44,97,624.0
Customer 16,26.014745,-80.125161,Vehicle1,0-14:06,97,624.0
depot,26.028818,-80.205416,Vehicle1,0-14:30,97,624.0
depot,28.085433,-81.674071,Vehicle2,0-07:00,1758,1758.0
Customer 33,28.208923,-82.527243,Vehicle2,0-10:00,1758,1758.0
Customer 35,28.208923,-82.527243,Vehicle2,0-10:15,1758,1758.0
Customer 25,28.137538,-81.628874,Vehicle2,0-11:58,1758,1758.0
depot,26.115392,-80.272204,Vehicle2,0-16:36,1758,1758.0
depot,26.123163,-80.392931,Vehicle3,0-07:00,17364,17364.0
Customer 8,37.973318,-121.795153,Vehicle3,6-15:00,17364,17364.0
Customer 12,37.973318,-121.795153,Vehicle3,6-15:15,17364,17364.0
depot,26.426737,-80.179178,Vehicle4,0-07:00,253,38701.0
Customer 39,26.3678,-80.146318,Vehicle4,0-08:00,253,38701.0
depot,26.426737,-80.179178,Vehicle4,0-08:23,253,38701.0
depot,26.426737,-80.179178,Vehicle4,0-08:53,2157,38701.0
Customer 38,26.707086,-80.063358,Vehicle4,0-09:26,2157,38701.0
Customer 31,28.377672,-81.523744,Vehicle4,0-13:36,2157,38701.0
Customer 36,28.415764,-81.574646,Vehicle4,0-13:57,2157,38701.0
depot,26.426737,-80.179178,Vehicle4,1-08:34,2157,38701.0
depot,26.426737,-80.179178,Vehicle4,1-09:04,1183,38701.0
Customer 37,26.359282,-80.232765,Vehicle4,1-10:00,1183,38701.0
Customer 41,26.777101,-81.737533,Vehicle4,1-12:51,1183,38701.0
depot,26.426737,-80.179178,Vehicle4,1-15:47,1183,38701.0
depot,26.426737,-80.179178,Vehicle4,1-16:17,2235,38701.0
Customer 28,28.5212,-81.428433,Vehicle4,2-10:40,2235,38701.0
Customer 18,28.635174,-81.445215,Vehicle4,2-11:08,2235,38701.0
Customer 20,28.190723,-81.149184,Vehicle4,2-12:20,2235,38701.0
Customer 26,26.577499,-80.167089,Vehicle4,2-15:59,2235,38701.0
depot,26.426737,-80.179178,Vehicle4,2-16:32,2235,38701.0
depot,26.426737,-80.179178,Vehicle4,2-17:02,2793,38701.0
Customer 40,27.410545,-82.480029,Vehicle4,3-11:14,2793,38701.0
Customer 30,28.208923,-82.527243,Vehicle4,3-13:00,2793,38701.0
depot,26.426737,-80.179178,Vehicle4,4-08:21,2793,38701.0
depot,26.426737,-80.179178,Vehicle4,4-08:51,30080,38701.0
Customer 5,33.803026,-117.924825,Vehicle4,10-10:31,30080,38701.0
Customer 13,34.048903,-118.54866,Vehicle4,10-11:50,30080,38701.0
Customer 11,34.048903,-118.54866,Vehicle4,10-12:05,30080,38701.0
depot,26.426737,-80.179178,Vehicle4,16-15:00,30080,38701.0
depot,26.123163,-80.392931,Vehicle5,0-07:00,29911,29911.0
Customer 6,33.803026,-117.924825,Vehicle5,6-08:33,29911,29911.0
Customer 7,33.803026,-117.924825,Vehicle5,6-08:48,29911,29911.0
depot,26.123163,-80.392931,Vehicle5,12-10:38,29911,29911.0
depot,26.272951,-80.137699,Vehicle6,0-07:00,927,927.0
Customer 27,26.915605,-80.152217,Vehicle6,0-10:00,927,927.0
Customer 42,25.9907,-80.117984,Vehicle6,0-11:57,927,927.0
depot,26.115392,-80.272204,Vehicle6,0-12:34,927,927.0
depot,26.028818,-80.205416,Vehicle10,0-07:00,31590,31590.0
Customer 43,26.16197,-80.315133,Vehicle10,0-07:18,31590,31590.0
Customer 9,33.803026,-117.924825,Vehicle10,6-09:12,31590,31590.0
Customer 10,36.778261,-119.417932,Vehicle10,6-15:24,31590,31590.0
depot,26.115392,-80.272204,Vehicle10,13-10:08,31590,31590.0
